id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-957121,2018-04-16,000001,Vente,173000,5047,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0352,,,,,,,,,,,,,0,1,Maison,110,4,J,jardins,,,991,4.421044,45.827438
2018-957121,2018-04-16,000001,Vente,173000,5047,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0352,,,,,,,,,,,,,0,1,Maison,110,4,S,sols,,,500,4.421044,45.827438
2018-957121,2018-04-16,000001,Vente,173000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0520,,,,,,,,,,,,,0,,,,,S,sols,,,211,4.42125,45.827364
2018-957305,2018-04-25,000001,Vente,145000,5001,,RUE DES EPARS,0012,69170,69001,Affoux,69,,,690010000E0025,,,,,,,,,,,,,0,1,Maison,130,4,S,sols,,,380,4.40279,45.845127
2018-957305,2018-04-25,000001,Vente,145000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0361,,,,,,,,,,,,,0,,,,,P,prés,,,632,4.402792,45.845164
2018-957553,2018-05-18,000002,Vente,72000,,,LA COLLONGE,B007,69170,69001,Affoux,69,,,690010000B0558,,,,,,,,,,,,,0,,,,,T,terres,,,1500,4.419971,45.83553
2018-958403,2018-07-16,000001,Vente,15000,,,LES MOLLIERES,B017,69170,69001,Affoux,69,,,690010000D0126,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,6270,4.390895,45.837863
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0044,,,,,,,,,,,,,0,,,,,P,prés,,,630,4.440117,45.836073
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0052,,,,,,,,,,,,,0,,,,,P,prés,,,595,4.43898,45.834654
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0059,,,,,,,,,,,,,0,,,,,T,terres,,,2040,4.437273,45.835729
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0450,,,,,,,,,,,,,0,,,,,S,sols,,,11,4.440714,45.834704
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0455,,,,,,,,,,,,,0,,,,,L,landes,,,672,4.439191,45.835365
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0472,,,,,,,,,,,,,0,,,,,T,terres,,,7925,4.438568,45.83621
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0472,,,,,,,,,,,,,0,,,,,T,terres,,,7924,4.438568,45.83621
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0474,,,,,,,,,,,,,0,,,,,T,terres,,,7207,4.439069,45.836601
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0474,,,,,,,,,,,,,0,,,,,T,terres,,,7207,4.439069,45.836601
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0476,,,,,,,,,,,,,0,,,,,L,landes,,,79,4.438055,45.835681
2018-958424,2018-07-31,000001,Vente,25000,,,CHEZ GUILLIEN,B004,69170,69001,Affoux,69,,,690010000B0477,,,,,,,,,,,,,0,,,,,L,landes,,,1936,4.439469,45.835645
2018-958783,2018-08-29,000001,Vente,59000,5156,,CREPIT,B008,69170,69001,Affoux,69,,,690010000E0399,,,,,,,,,,,,,0,1,Maison,137,5,S,sols,,,500,4.416404,45.836681
2018-958783,2018-08-29,000001,Vente,59000,5156,,CREPIT,B008,69170,69001,Affoux,69,,,690010000E0399,,,,,,,,,,,,,0,1,Maison,137,5,J,jardins,,,1124,4.416404,45.836681
2018-958848,2018-08-20,000001,Vente,227800,5137,,LE FERRIERE,B012,69170,69001,Affoux,69,,,690010000A0380,,,,,,,,,,,,,0,1,Maison,93,4,S,sols,,,500,4.428475,45.847413
2018-958848,2018-08-20,000001,Vente,227800,5137,,LE FERRIERE,B012,69170,69001,Affoux,69,,,690010000A0380,,,,,,,,,,,,,0,1,Maison,93,4,J,jardins,,,1000,4.428475,45.847413
2018-959869,2018-11-19,000001,Vente,276000,5070,,LES MOLLIERES,B017,69170,69001,Affoux,69,,,690010000D0140,,,,,,,,,,,,,0,1,Maison,98,3,S,sols,,,1952,4.390985,45.840477
2018-959869,2018-11-19,000001,Vente,276000,5070,,LES MOLLIERES,B017,69170,69001,Affoux,69,,,690010000D0140,,,,,,,,,,,,,0,1,Maison,98,3,J,jardins,,,616,4.390985,45.840477
2018-960486,2018-12-28,000001,Vente,145000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0284,,,,,,,,,,,,,0,,,,,P,prés,,,3035,4.418135,45.830349
2018-960486,2018-12-28,000001,Vente,145000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0284,,,,,,,,,,,,,0,,,,,S,sols,,,55,4.418135,45.830349
2018-960486,2018-12-28,000001,Vente,145000,5046,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0314,,,,,,,,,,,,,0,1,Maison,106,4,J,jardins,,,767,4.418673,45.82992
2018-960486,2018-12-28,000001,Vente,145000,5046,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0314,,,,,,,,,,,,,0,1,Maison,106,4,S,sols,,,115,4.418673,45.82992
