id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-852417,2016-02-29,000001,Vente,108000,5006,,RUE PRINCIPALE,0035,69170,69001,Affoux,69,,,690010000E0034,,,,,,,,,,,,,0,1,Maison,90,3,S,sols,,,30,4.40315,45.844929
2016-852417,2016-02-29,000001,Vente,108000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0035,,,,,,,,,,,,,0,,,,,S,sols,,,25,4.403139,45.844898
2016-852417,2016-02-29,000001,Vente,108000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0324,,,,,,,,,,,,,0,,,,,S,sols,,,9,4.403313,45.844813
2016-852417,2016-02-29,000001,Vente,108000,5005,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0328,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,31,4.403297,45.84484
2016-852512,2016-03-24,000001,Vente,66000,,,CREPIT,B008,69170,69001,Affoux,69,,,690010000E0400,,,,,,,,,,,,,0,,,,,J,jardins,,,1527,4.416579,45.836684
2016-854033,2016-08-03,000001,Vente,237000,,,LES PLACES,B019,69170,69001,Affoux,69,,,690010000C0234,,,,,,,,,,,,,0,,,,,P,prés,,,22,4.404439,45.840356
2016-854033,2016-08-03,000001,Vente,237000,5075,,LES PLACES,B019,69170,69001,Affoux,69,,,690010000C0243,,,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,730,4.404238,45.840294
2016-854033,2016-08-03,000001,Vente,237000,,,LES PLACES,B019,69170,69001,Affoux,69,,,690010000C0244,,,,,,,,,,,,,0,,,,,S,sols,,,143,4.404384,45.840257
2016-854033,2016-08-03,000001,Vente,237000,,,LES PLACES,B019,69170,69001,Affoux,69,,,690010000C0249,,,,,,,,,,,,,0,,,,,P,prés,,,186,4.404277,45.840154
2016-854130,2016-07-28,000001,Vente,220000,5142,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0068,,,,,,,,,,,,,0,1,Maison,112,4,S,sols,,,900,4.406908,45.844255
2016-854130,2016-07-28,000001,Vente,220000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0260,,,,,,,,,,,,,0,,,,,J,jardins,,,185,4.406733,45.844462
2016-854165,2016-07-29,000001,Vente,127400,5007,,RUE DES EPARS,0012,69170,69001,Affoux,69,,,690010000E0029,,,,,,,,,,,,,0,1,Maison,73,2,S,sols,,,335,4.402627,45.845018
2016-854609,2016-09-08,000002,Vente,43000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0546,,,,,,,,,,,,,0,,,,,J,jardins,,,1500,4.434151,45.837105
2016-854609,2016-09-08,000002,Vente,43000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0549,,,,,,,,,,,,,0,,,,,S,sols,,,110,4.434225,45.837303
2016-855331,2016-12-01,000001,Vente,3684,,,LA VERPILLE,B022,69170,69001,Affoux,69,,,690010000C0079,,,,,,,,,,,,,0,,,,,P,prés,,,12280,4.412402,45.836551
2016-855342,2016-11-15,000001,Vente,41000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0547,,,,,,,,,,,,,0,,,,,J,jardins,,,1507,4.433832,45.8373
2016-855342,2016-11-15,000001,Vente,41000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0548,,,,,,,,,,,,,0,,,,,S,sols,,,52,4.433813,45.83738
2016-855427,2016-12-05,000002,Vente,62000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0552,,,,,,,,,,,,,0,,,,,J,jardins,,,1382,4.434497,45.837326
2016-855427,2016-12-05,000002,Vente,62000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0553,,,,,,,,,,,,,0,,,,,J,jardins,,,118,4.434276,45.837622
2016-855427,2016-12-05,000002,Vente,62000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0554,,,,,,,,,,,,,0,,,,,J,jardins,,,26,4.434237,45.837682
2016-855427,2016-12-05,000002,Vente,62000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0555,,,,,,,,,,,,,0,,,,,S,sols,,,32,4.434516,45.837228
2016-855743,2016-12-22,000001,Vente,60000,,,LE GOUJET,B013,69170,69001,Affoux,69,,,690010000A0073,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,3330,4.423793,45.854226
2016-855743,2016-12-22,000001,Vente,60000,,,LE GOUJET,B013,69170,69001,Affoux,69,,,690010000A0075,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,800,4.423312,45.853797
2016-855743,2016-12-22,000001,Vente,60000,,,LE GOUJET,B013,69170,69001,Affoux,69,,,690010000A0163,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,11250,4.42491,45.852319
2016-855743,2016-12-22,000001,Vente,60000,,,LE GOUJET,B013,69170,69001,Affoux,69,,,690010000A0164,,,,,,,,,,,,,0,,,,,T,terres,,,27311,4.424291,45.852842
2016-855743,2016-12-22,000001,Vente,60000,,,LE GOUJET,B013,69170,69001,Affoux,69,,,690010000A0164,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,20539,4.424291,45.852842
2016-855743,2016-12-22,000001,Vente,60000,,,LE GOUJET,B013,69170,69001,Affoux,69,,,690010000A0382,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,3355,4.421413,45.854754
2016-855743,2016-12-22,000001,Vente,60000,,,LE GOUJET,B013,69170,69001,Affoux,69,,,690010000A0385,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,13976,4.422694,45.854501
